,SalePrice,MSZoning,LotArea,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtFullBath,BsmtHalfBath,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,KitchenQual,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
340,202900,RL,14191,AllPub,Timber,1Fam,2Story,8,2002,2002,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,993,915,0,Gd,Typ,0,Attchd,Fin,2,TA,Y,135,0,0,0,0,0,0,4,2010,WD,Normal
341,82000,RH,8400,AllPub,SawyerW,1Fam,1Story,4,1950,1950,CompShg,Wd Sdng,Fa,CBlock,TA,Unf,0,0,0,GasA,Gd,Y,SBrkr,841,0,0,TA,Typ,0,CarPort,Unf,1,TA,N,250,0,24,0,0,0,0,9,2009,WD,Normal
343,266000,RL,8849,AllPub,NridgHt,TwnhsE,1Story,9,2005,2005,CompShg,MetalSd,Ex,PConc,Ex,GLQ,28,0,0,GasA,Ex,Y,SBrkr,1684,0,0,Ex,Typ,1,Attchd,RFn,2,TA,Y,495,72,0,0,0,0,0,7,2008,WD,Normal
344,85000,RM,2592,AllPub,MeadowV,TwnhsE,2Story,5,1976,1976,CompShg,CemntBd,TA,CBlock,Gd,Rec,129,0,0,GasA,TA,Y,SBrkr,536,576,0,TA,Typ,0,Attchd,Unf,1,TA,Y,182,0,0,0,0,0,0,4,2010,WD,Normal
345,140200,RL,6435,AllPub,BrkSide,1Fam,1.5Fin,6,1939,1950,CompShg,MetalSd,TA,BrkTil,TA,Unf,0,0,0,GasA,Gd,Y,SBrkr,972,605,0,Fa,Typ,1,Detchd,Unf,1,TA,Y,0,0,0,0,0,0,0,10,2006,WD,Normal
348,154000,RL,2448,AllPub,NridgHt,Twnhs,2Story,7,2003,2004,CompShg,VinylSd,Gd,PConc,Gd,GLQ,573,1,0,GasA,Ex,Y,SBrkr,764,862,0,Gd,Typ,0,BuiltIn,RFn,2,TA,Y,0,27,0,0,0,0,0,10,2008,WD,Normal
349,437154,RL,20431,AllPub,NridgHt,1Fam,2Story,9,2005,2006,CompShg,CemntBd,Ex,PConc,Ex,GLQ,1410,1,0,GasA,Ex,Y,SBrkr,1848,880,0,Ex,Typ,2,Attchd,Fin,3,TA,Y,0,0,0,0,0,0,0,4,2006,New,Partial
350,318061,RL,7820,AllPub,NridgHt,TwnhsE,1Story,9,2007,2007,CompShg,MetalSd,Ex,PConc,Ex,Unf,0,0,0,GasA,Ex,Y,SBrkr,1869,0,0,Ex,Typ,1,Attchd,RFn,2,TA,Y,210,54,0,0,0,0,0,12,2007,New,Partial
352,95000,RL,9084,AllPub,Edwards,1Fam,1.5Fin,5,1941,1950,CompShg,VinylSd,TA,CBlock,TA,LwQ,236,0,1,GasA,TA,N,SBrkr,616,495,0,TA,Typ,0,Detchd,Unf,1,TA,Y,48,0,0,0,0,0,0,3,2008,ConLw,Normal
353,105900,RM,8520,AllPub,OldTown,1Fam,1Story,6,1928,2003,CompShg,VinylSd,TA,BrkTil,TA,Unf,0,0,0,GasA,Gd,Y,SBrkr,720,0,0,TA,Typ,0,Detchd,Unf,2,TA,Y,106,0,0,0,0,0,0,5,2010,WD,Normal
354,140000,RL,8400,AllPub,SWISU,1Fam,1.5Fin,6,1940,2000,CompShg,Wd Sdng,TA,CBlock,TA,LwQ,388,0,0,GasA,Ex,Y,SBrkr,1192,403,0,TA,Typ,2,Attchd,Unf,1,TA,Y,0,0,108,0,0,0,0,6,2006,WD,Normal
355,177500,RL,11249,AllPub,CollgCr,1Fam,1Story,6,1995,1995,CompShg,VinylSd,Gd,PConc,Gd,ALQ,334,1,0,GasA,Ex,Y,SBrkr,1200,0,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,0,26,0,0,0,0,0,8,2007,WD,Normal
357,134000,RM,4224,AllPub,MeadowV,TwnhsE,1Story,5,1976,1976,CompShg,CemntBd,TA,PConc,Gd,ALQ,874,1,0,GasA,TA,Y,SBrkr,1142,0,0,TA,Typ,1,Attchd,Fin,2,TA,Y,536,90,0,0,0,0,0,8,2007,WD,Normal
358,130000,RL,6930,AllPub,ClearCr,1Fam,SLvl,5,1958,1958,CompShg,Wd Sdng,TA,CBlock,TA,BLQ,300,0,1,GasA,Ex,Y,FuseF,1352,0,0,Gd,Min2,0,BuiltIn,Unf,1,TA,Y,168,0,294,0,0,0,0,7,2006,WD,Abnorml
359,280000,RL,12011,AllPub,NoRidge,1Fam,2Story,8,1998,1998,CompShg,VinylSd,Gd,PConc,Gd,GLQ,956,1,0,GasA,Ex,Y,SBrkr,1086,838,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,208,75,0,0,374,0,0,6,2006,WD,Normal
363,118000,RM,1680,AllPub,BrDale,Twnhs,2Story,6,1972,2007,CompShg,HdBoard,TA,CBlock,TA,ALQ,162,0,0,GasA,Gd,Y,SBrkr,483,504,0,Gd,Typ,0,Detchd,Unf,1,TA,Y,250,0,0,0,0,0,0,5,2009,WD,Normal
365,147000,RM,10690,AllPub,IDOTRR,1Fam,2Story,5,1920,1997,CompShg,VinylSd,TA,CBlock,TA,Rec,456,0,0,GasA,Gd,Y,FuseA,672,672,0,TA,Typ,0,Detchd,Unf,1,TA,Y,0,128,218,0,0,0,0,7,2009,WD,Normal
367,165000,RL,9150,AllPub,NAmes,1Fam,SLvl,6,1962,1962,Tar&Grv,Plywood,TA,CBlock,Gd,GLQ,371,0,1,GasA,Gd,Y,SBrkr,1431,0,0,TA,Typ,1,Basment,RFn,1,TA,Y,64,110,0,0,0,0,0,12,2008,WD,Normal
368,132000,RL,7800,AllPub,NAmes,1Fam,1Story,5,1954,1954,CompShg,HdBoard,TA,PConc,TA,LwQ,540,0,0,GasA,Gd,Y,SBrkr,1268,0,0,TA,Typ,1,Attchd,Fin,1,TA,Y,0,98,0,0,0,0,0,3,2010,WD,Normal
372,125000,RL,7175,AllPub,SawyerW,TwnhsE,1Story,6,1984,1984,CompShg,Plywood,TA,CBlock,Gd,ALQ,623,1,0,GasA,TA,Y,SBrkr,752,0,0,TA,Typ,0,Attchd,Unf,1,TA,Y,353,0,0,0,90,0,0,2,2010,WD,Normal
373,123000,RL,10634,AllPub,NAmes,1Fam,1Story,5,1953,1953,CompShg,MetalSd,TA,PConc,TA,BLQ,428,1,0,GasA,TA,Y,SBrkr,1319,0,0,TA,Min2,0,Attchd,Unf,1,TA,Y,66,0,0,0,0,0,0,11,2009,WD,Normal
374,219500,RL,8200,AllPub,CollgCr,1Fam,2Story,7,2003,2004,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,847,1081,0,Gd,Typ,1,BuiltIn,Fin,2,TA,Y,100,48,0,0,0,0,0,7,2007,WD,Normal
376,148000,RL,8846,AllPub,CollgCr,1Fam,SFoyer,5,1996,1996,CompShg,VinylSd,Gd,PConc,Gd,GLQ,298,0,0,GasA,Ex,Y,SBrkr,914,0,0,TA,Typ,0,Detchd,Unf,2,TA,Y,0,0,0,0,0,0,0,7,2006,WD,Normal
377,340000,FV,11143,AllPub,Somerst,1Fam,2Story,8,2004,2005,CompShg,CemntBd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1580,886,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,159,214,0,0,0,0,0,12,2007,WD,Normal
378,394432,RL,11394,AllPub,StoneBr,1Fam,1Story,9,2010,2010,CompShg,VinylSd,Gd,PConc,Ex,GLQ,1445,1,0,GasA,Ex,Y,SBrkr,1856,0,0,Ex,Typ,1,Attchd,Fin,3,TA,Y,113,0,0,0,0,0,0,6,2010,New,Partial
379,179000,RL,8123,AllPub,Gilbert,1Fam,2Story,6,2000,2000,CompShg,VinylSd,TA,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1007,793,0,TA,Typ,1,Attchd,Fin,2,TA,Y,100,63,0,0,0,0,0,6,2009,WD,Normal
380,127000,RL,5000,AllPub,SWISU,1Fam,1.5Fin,5,1924,1950,CompShg,BrkFace,TA,BrkTil,TA,LwQ,218,0,0,GasA,TA,Y,SBrkr,1026,665,0,Gd,Typ,1,Detchd,Unf,1,TA,Y,0,0,242,0,0,0,0,5,2010,WD,Normal
381,187750,FV,7200,AllPub,Somerst,1Fam,1Story,7,2006,2006,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,1,0,GasA,Ex,Y,SBrkr,1301,0,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,216,121,0,0,0,0,0,8,2006,New,Partial
382,213500,RL,9245,AllPub,CollgCr,1Fam,2Story,7,2006,2006,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,939,858,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,144,53,0,0,0,0,0,4,2007,WD,Normal
383,76000,RH,9000,AllPub,SawyerW,1Fam,1.5Unf,6,1928,1950,CompShg,Wd Sdng,TA,BrkTil,Fa,Unf,0,0,0,GasA,TA,N,FuseA,784,0,0,TA,Typ,0,Detchd,Unf,2,Fa,N,0,0,91,0,0,0,0,10,2009,WD,Normal
385,192000,RL,3182,AllPub,Blmngtn,TwnhsE,1Story,8,2004,2005,CompShg,VinylSd,Gd,PConc,Gd,GLQ,24,0,0,GasA,Ex,Y,SBrkr,1269,0,0,Gd,Typ,1,Attchd,Fin,2,TA,Y,146,20,0,0,144,0,0,4,2010,WD,Normal
387,125000,RL,7200,AllPub,Edwards,1Fam,SLvl,6,1976,1976,CompShg,MetalSd,TA,CBlock,TA,ALQ,631,1,0,GasA,Ex,Y,SBrkr,1125,0,0,TA,Typ,1,Detchd,Unf,1,TA,Y,296,0,0,0,0,0,0,10,2009,WD,Abnorml
388,191000,RL,9382,AllPub,CollgCr,1Fam,1Story,7,1999,2000,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1479,0,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,120,25,0,0,0,0,0,7,2008,WD,Normal
389,426000,RL,12474,AllPub,NridgHt,1Fam,2Story,10,2007,2008,CompShg,VinylSd,Ex,PConc,Ex,GLQ,1280,1,0,GasA,Ex,Y,SBrkr,1742,590,0,Ex,Typ,1,BuiltIn,Fin,3,TA,Y,196,134,0,0,0,0,0,8,2008,New,Partial
390,119000,RL,8405,AllPub,Edwards,1Fam,1.5Fin,5,1900,1950,CompShg,MetalSd,TA,BrkTil,TA,Rec,241,1,0,GasA,Ex,Y,SBrkr,961,406,0,TA,Typ,0,Detchd,Unf,1,TA,Y,0,130,112,0,0,0,0,4,2008,WD,Normal
391,215000,RL,12209,AllPub,Mitchel,1Fam,2Story,6,2001,2002,CompShg,VinylSd,TA,PConc,Ex,ALQ,690,1,0,GasA,Ex,Y,SBrkr,804,1157,0,Gd,Typ,1,BuiltIn,Fin,2,TA,Y,125,192,0,0,0,0,0,6,2009,WD,Normal
394,109000,RL,10134,AllPub,OldTown,1Fam,1.5Fin,5,1940,1950,CompShg,MetalSd,TA,CBlock,TA,Unf,0,0,0,GasA,Gd,Y,FuseA,735,299,0,TA,Typ,0,Detchd,Unf,1,TA,Y,0,39,0,0,0,0,0,7,2007,WD,Normal
395,129000,RL,9571,AllPub,Edwards,1Fam,1Story,5,1956,1956,CompShg,Wd Sdng,TA,CBlock,TA,BLQ,739,1,0,GasA,TA,Y,SBrkr,1144,0,0,TA,Typ,0,Attchd,Unf,1,TA,Y,44,0,0,0,0,0,0,6,2010,WD,Normal
396,123000,RL,7200,AllPub,CollgCr,1Fam,1Story,5,1972,1972,CompShg,MetalSd,TA,CBlock,TA,Rec,777,0,0,GasA,TA,Y,SBrkr,894,0,0,TA,Typ,0,Detchd,RFn,2,TA,Y,215,0,0,0,0,0,0,9,2009,WD,Normal
397,169500,RL,7590,AllPub,NAmes,1Fam,2Story,5,1962,1962,CompShg,VinylSd,TA,CBlock,TA,ALQ,540,0,0,GasA,TA,Y,SBrkr,876,936,0,TA,Typ,1,Attchd,RFn,1,TA,Y,0,168,0,0,0,0,0,7,2007,WD,Normal
398,67000,RM,8967,AllPub,IDOTRR,1Fam,1Story,5,1920,1950,CompShg,MetalSd,TA,BrkTil,Fa,Unf,0,0,0,GasA,Gd,Y,Mix,1077,0,0,TA,Maj2,0,Detchd,Unf,1,Po,N,0,0,0,0,0,0,0,11,2007,WD,Abnorml
399,241000,FV,8125,AllPub,Somerst,1Fam,2Story,7,2006,2007,CompShg,CemntBd,Gd,PConc,Gd,GLQ,812,1,0,GasA,Ex,Y,SBrkr,1112,438,0,Gd,Typ,0,Attchd,Fin,2,TA,Y,0,168,0,0,0,0,0,10,2009,WD,Normal
400,245500,RL,14963,AllPub,Veenker,TwnhsE,1Story,8,1996,1996,CompShg,BrkFace,Gd,PConc,Gd,GLQ,786,1,0,GasA,Ex,Y,SBrkr,1288,0,0,Ex,Typ,2,Attchd,Fin,2,TA,Y,120,30,0,0,224,0,0,12,2008,WD,Normal
401,164990,RL,8767,AllPub,CollgCr,1Fam,1Story,7,2005,2005,CompShg,VinylSd,Gd,PConc,Gd,GLQ,24,0,0,GasA,Ex,Y,SBrkr,1310,0,0,Gd,Typ,1,Attchd,Fin,2,TA,Y,0,0,0,0,0,0,0,7,2006,New,Partial
402,108000,RL,10200,AllPub,Sawyer,1Fam,1Story,5,1940,1997,CompShg,Wd Sdng,TA,PConc,TA,Unf,0,0,0,GasA,Ex,Y,SBrkr,672,0,0,TA,Typ,0,Detchd,Unf,1,TA,N,168,0,0,0,0,0,0,8,2008,WD,Normal
403,258000,RL,12090,AllPub,NoRidge,1Fam,2Story,8,1998,1998,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Gd,Y,SBrkr,1165,1098,0,Gd,Typ,1,BuiltIn,Fin,2,TA,Y,144,123,0,0,0,0,0,7,2006,WD,Abnorml
406,115000,RL,10480,AllPub,SWISU,1Fam,1.5Fin,6,1936,1950,CompShg,MetalSd,TA,BrkTil,TA,Unf,0,0,0,GasA,Ex,Y,FuseA,1166,0,473,TA,Maj2,0,Detchd,Unf,1,TA,Y,0,0,0,0,0,0,0,3,2008,WD,Normal
407,177000,RL,15576,AllPub,Crawfor,1Fam,2Story,6,1915,1976,CompShg,Wd Sdng,TA,BrkTil,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,840,840,0,TA,Typ,0,Attchd,Unf,1,TA,Y,0,0,160,0,0,0,0,3,2008,WD,Normal
408,280000,RL,14154,AllPub,NridgHt,1Fam,2Story,7,2006,2006,CompShg,VinylSd,Gd,PConc,Ex,Unf,0,0,0,GasA,Ex,Y,SBrkr,1071,1101,0,Gd,Typ,1,Attchd,RFn,3,TA,Y,192,62,0,0,0,0,0,8,2007,New,Partial
409,339750,FV,10800,AllPub,Somerst,1Fam,2Story,8,2007,2008,CompShg,VinylSd,Gd,PConc,Ex,GLQ,789,1,0,GasA,Ex,Y,SBrkr,1050,1028,0,Ex,Typ,1,Attchd,Fin,3,TA,Y,0,102,0,0,0,0,0,4,2008,New,Partial
410,60000,RL,9571,AllPub,Edwards,1Fam,1Story,5,1958,1958,CompShg,BrkComm,TA,CBlock,TA,Unf,0,0,0,GasA,TA,Y,FuseA,1276,0,0,TA,Mod,0,Attchd,Unf,1,TA,Y,0,0,0,0,0,0,0,6,2009,COD,Abnorml
411,145000,RL,34650,AllPub,Gilbert,2fmCon,1Story,5,1955,1955,CompShg,Wd Sdng,TA,CBlock,TA,Rec,1056,1,0,GasA,TA,N,SBrkr,1056,0,0,TA,Typ,0,Attchd,Fin,2,TA,Y,264,0,0,0,0,0,0,1,2006,WD,Normal
413,115000,RM,8960,AllPub,OldTown,1Fam,1Story,5,1927,1950,CompShg,WdShing,TA,CBlock,TA,Unf,0,0,0,GasA,Gd,Y,FuseA,1028,0,0,TA,Typ,1,Detchd,Unf,2,TA,Y,0,0,130,0,0,0,0,3,2010,WD,Normal
414,228000,RL,11228,AllPub,SawyerW,1Fam,2Story,7,1993,1993,CompShg,VinylSd,Gd,PConc,Gd,BLQ,50,0,1,GasA,Ex,Y,SBrkr,1080,1017,0,Gd,Typ,1,Attchd,Unf,3,TA,Y,196,187,0,0,0,0,0,12,2008,WD,Normal
415,181134,RL,8899,AllPub,Gilbert,1Fam,1Story,7,2007,2007,CompShg,VinylSd,Gd,PConc,Gd,GLQ,24,0,0,GasA,Ex,Y,SBrkr,1340,0,0,Gd,Typ,0,Attchd,Fin,2,TA,Y,100,30,0,0,0,0,0,8,2007,New,Partial
416,149500,RL,7844,AllPub,Sawyer,1Fam,2Story,6,1978,1978,CompShg,HdBoard,TA,CBlock,TA,ALQ,209,0,0,GasA,TA,Y,SBrkr,672,728,0,TA,Typ,1,Attchd,Fin,2,TA,Y,0,0,0,0,0,0,0,3,2006,WD,Normal
417,239000,RL,22420,AllPub,Crawfor,1Fam,2Story,6,1918,1950,CompShg,Wd Sdng,TA,BrkTil,Gd,BLQ,1128,1,0,GasW,TA,N,FuseA,1370,1254,0,TA,Typ,1,Detchd,Unf,3,TA,N,0,0,0,0,0,0,0,11,2007,WD,Normal
418,126000,RL,8160,AllPub,Edwards,1Fam,1.5Fin,5,1940,1950,CompShg,MetalSd,TA,BrkTil,TA,ALQ,312,1,0,GasA,Fa,N,FuseF,756,378,0,TA,Typ,0,Detchd,Unf,1,TA,P,0,0,0,0,0,0,0,4,2007,WD,AdjLand
419,142000,RL,8450,AllPub,NAmes,1Fam,1Story,5,1968,1968,CompShg,VinylSd,TA,CBlock,TA,BLQ,775,1,0,GasA,Ex,Y,SBrkr,1056,0,0,TA,Typ,1,Attchd,Unf,1,TA,Y,0,85,184,0,0,0,0,7,2010,WD,Normal
420,206300,RM,7060,AllPub,Mitchel,Duplex,SFoyer,7,1997,1998,CompShg,VinylSd,TA,PConc,Gd,GLQ,1309,2,0,GasA,Ex,Y,SBrkr,1344,0,0,TA,Typ,0,Attchd,Fin,4,TA,Y,0,0,0,0,0,0,0,11,2008,WD,Alloca
422,113000,RL,21750,AllPub,Mitchel,1Fam,1Story,5,1954,1954,CompShg,HdBoard,TA,CBlock,TA,Unf,0,0,0,GasA,Ex,Y,FuseA,988,0,0,TA,Typ,0,Attchd,RFn,2,TA,N,0,0,0,0,0,0,0,2,2008,WD,Normal
423,315000,RL,9200,AllPub,NoRidge,1Fam,2Story,8,1998,1998,CompShg,VinylSd,Gd,PConc,Gd,GLQ,986,1,0,GasA,Gd,Y,SBrkr,1470,1160,0,Gd,Typ,1,Attchd,Fin,3,TA,Y,0,66,0,0,0,0,0,6,2008,WD,Normal
424,139000,RL,9000,AllPub,NAmes,1Fam,1Story,6,1956,1956,CompShg,Wd Sdng,TA,CBlock,Gd,LwQ,616,1,0,GasA,Gd,Y,FuseA,1196,0,0,TA,Typ,1,Attchd,RFn,1,TA,Y,0,44,0,0,0,0,0,5,2008,WD,Normal
425,135000,RM,3378,AllPub,OldTown,1Fam,2Story,7,1946,1992,CompShg,HdBoard,TA,CBlock,TA,Unf,0,0,0,GasA,Gd,Y,SBrkr,707,682,0,TA,Typ,2,Detchd,Unf,1,TA,P,0,0,126,0,0,0,0,9,2009,WD,Normal
427,109008,RL,8593,AllPub,NAmes,1Fam,1Story,4,1957,1957,CompShg,MetalSd,TA,CBlock,TA,Rec,288,0,0,GasA,Ex,Y,SBrkr,907,0,0,TA,Typ,0,Detchd,Unf,1,TA,Y,0,0,0,0,0,0,0,7,2008,WD,Normal
428,195400,RL,6762,AllPub,CollgCr,1Fam,1Story,7,2007,2007,CompShg,VinylSd,Gd,PConc,Gd,GLQ,664,1,0,GasA,Ex,Y,SBrkr,1208,0,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,105,54,0,0,0,0,0,9,2007,New,Partial
429,175000,RL,11457,AllPub,Timber,1Fam,1Story,6,1988,1988,CompShg,HdBoard,TA,CBlock,Gd,GLQ,1005,1,0,GasA,TA,Y,SBrkr,1412,0,0,Gd,Typ,1,Attchd,Unf,2,TA,Y,0,0,169,0,0,0,0,3,2009,WD,Normal
430,85400,RM,1680,AllPub,BrDale,Twnhs,2Story,6,1971,1971,CompShg,HdBoard,TA,CBlock,TA,ALQ,387,0,0,GasA,TA,Y,SBrkr,483,504,0,TA,Typ,0,Detchd,Unf,1,TA,Y,0,0,0,0,0,0,0,7,2008,COD,Abnorml
432,122500,RM,1920,AllPub,BrDale,TwnhsE,2Story,5,1971,1971,CompShg,HdBoard,TA,CBlock,TA,ALQ,471,1,0,GasA,Ex,Y,SBrkr,765,600,0,TA,Min1,0,Detchd,Unf,2,TA,Y,240,36,0,0,0,0,0,8,2007,WD,Normal
433,181000,RL,10839,AllPub,Gilbert,1Fam,2Story,6,1997,1998,CompShg,VinylSd,TA,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,926,678,0,TA,Typ,1,Attchd,Fin,2,TA,Y,0,36,0,0,0,0,0,7,2008,WD,Normal
435,212000,RL,10667,AllPub,CollgCr,1Fam,2Story,7,1996,1996,CompShg,VinylSd,Gd,PConc,Gd,GLQ,385,1,0,GasA,Ex,Y,SBrkr,827,834,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,158,61,0,0,0,0,0,4,2009,ConLw,Normal
436,116000,RM,4400,AllPub,OldTown,1Fam,1.5Fin,6,1920,1950,CompShg,Stucco,TA,BrkTil,Fa,Unf,0,0,0,GasA,TA,Y,FuseA,734,384,0,TA,Typ,0,Detchd,Unf,2,TA,Y,0,0,0,0,0,0,0,10,2006,WD,Normal
437,119000,RM,6000,AllPub,BrkSide,1Fam,1.5Unf,6,1926,2004,CompShg,Wd Sdng,Gd,PConc,TA,Unf,0,0,0,GasA,Gd,Y,SBrkr,904,0,0,TA,Typ,0,Detchd,Unf,1,TA,Y,0,0,105,0,0,0,0,1,2009,WD,Normal
438,90350,RL,4280,AllPub,Crawfor,1Fam,1Story,5,1913,2002,CompShg,WdShing,TA,PConc,TA,LwQ,365,0,0,GasA,TA,N,SBrkr,694,0,0,Gd,Typ,1,Detchd,Unf,1,Gd,P,0,0,34,0,0,0,0,3,2007,WD,Normal
439,110000,RL,12354,AllPub,Edwards,1Fam,1.5Fin,6,1920,2000,CompShg,Wd Sdng,TA,BrkTil,TA,Unf,0,0,0,GasA,Gd,Y,SBrkr,684,512,0,Gd,Typ,0,Detchd,Unf,2,TA,Y,0,46,0,0,0,0,800,8,2009,ConLI,Normal
440,555000,RL,15431,AllPub,NridgHt,1Fam,1Story,10,2008,2008,CompShg,VinylSd,Ex,PConc,Ex,GLQ,1767,1,0,GasA,Ex,Y,SBrkr,2402,0,0,Ex,Typ,2,Attchd,Fin,3,TA,Y,0,72,0,0,170,0,0,4,2009,WD,Normal
442,162900,RM,6240,AllPub,BrkSide,1Fam,1.5Fin,5,1930,1992,CompShg,MetalSd,TA,PConc,TA,Unf,0,0,0,GasA,TA,Y,SBrkr,1128,445,0,TA,Typ,1,Detchd,Unf,2,TA,P,0,0,0,0,0,0,0,6,2008,WD,Normal
443,172500,RL,3922,AllPub,Blmngtn,TwnhsE,1Story,7,2006,2007,CompShg,WdShing,Gd,PConc,Ex,Unf,0,0,0,GasA,Ex,Y,SBrkr,1258,0,0,Gd,Typ,1,Attchd,Fin,3,TA,Y,144,16,0,0,0,0,0,6,2007,New,Partial
444,210000,RL,8750,AllPub,CollgCr,1Fam,2Story,7,1994,1995,CompShg,VinylSd,Gd,PConc,Gd,GLQ,642,1,0,GasA,Ex,Y,SBrkr,933,975,0,Gd,Typ,1,Attchd,Unf,2,TA,Y,144,133,0,0,0,0,0,7,2008,WD,Normal
445,127500,RL,9855,AllPub,Edwards,1Fam,1Story,6,1956,1956,CompShg,Wd Sdng,TA,CBlock,TA,Unf,0,0,0,GasA,Fa,Y,SBrkr,1689,0,0,TA,Typ,1,Attchd,Unf,2,TA,Y,0,0,0,0,0,0,0,11,2009,COD,Normal
446,190000,RL,16492,AllPub,NAmes,1Fam,1Story,6,1966,2002,CompShg,BrkFace,Gd,CBlock,TA,ALQ,247,0,0,GasA,Ex,Y,SBrkr,1888,0,0,Gd,Mod,1,Attchd,Fin,2,TA,Y,0,0,0,0,0,0,0,6,2010,WD,Normal
448,119500,RM,8600,AllPub,IDOTRR,1Fam,1.5Fin,6,1937,1950,CompShg,MetalSd,TA,BrkTil,TA,Unf,0,0,0,GasA,TA,Y,SBrkr,780,596,0,TA,Typ,1,Detchd,Unf,1,TA,N,0,0,0,0,0,0,0,6,2006,WD,Normal
449,120000,RM,6000,AllPub,OldTown,1Fam,1.5Fin,3,1948,2002,CompShg,MetalSd,TA,CBlock,TA,ALQ,331,0,0,GasA,Ex,Y,SBrkr,679,504,0,TA,Typ,0,Detchd,Unf,1,TA,Y,0,176,0,0,0,0,0,6,2007,WD,Normal
450,110000,RM,5684,AllPub,OldTown,1Fam,1Story,6,1930,2005,CompShg,Wd Sdng,TA,BrkTil,TA,Unf,0,0,0,GasA,Ex,Y,FuseA,813,0,0,Gd,Typ,0,Detchd,Unf,1,Fa,N,0,113,0,0,0,0,0,6,2006,WD,Normal
451,280000,RL,70761,AllPub,ClearCr,1Fam,1Story,7,1975,1975,WdShngl,Plywood,TA,CBlock,Gd,ALQ,655,1,0,GasA,TA,Y,SBrkr,1533,0,0,Gd,Typ,2,Attchd,Unf,2,TA,Y,200,54,0,0,0,0,0,12,2006,WD,Normal
453,210000,FV,9000,AllPub,Somerst,1Fam,2Story,8,2008,2008,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,786,804,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,0,30,0,0,0,0,0,6,2009,WD,Normal
454,188000,RL,9297,AllPub,Mitchel,Duplex,1Story,5,1976,1976,CompShg,Plywood,TA,CBlock,TA,ALQ,1606,2,0,GasA,TA,Y,SBrkr,1728,0,0,TA,Typ,0,Detchd,Unf,2,TA,Y,0,0,0,0,0,0,0,7,2006,WD,Family
455,175500,RL,9600,AllPub,NWAmes,1Fam,1Story,7,1973,1973,CompShg,HdBoard,TA,CBlock,TA,ALQ,916,0,0,GasA,Fa,Y,SBrkr,1242,0,0,TA,Typ,1,Attchd,Unf,2,TA,Y,0,0,0,0,0,0,0,9,2007,WD,Normal
456,98000,RM,4571,AllPub,OldTown,1Fam,2Story,5,1916,1950,CompShg,AsbShng,TA,BrkTil,TA,Unf,0,0,0,GasA,Fa,N,SBrkr,624,720,0,TA,Typ,0,Detchd,Unf,3,Fa,Y,0,0,96,0,0,0,0,5,2008,COD,Abnorml
460,263435,FV,8004,AllPub,Somerst,1Fam,2Story,8,2009,2009,CompShg,VinylSd,Gd,PConc,Gd,GLQ,544,1,0,GasA,Ex,Y,SBrkr,832,1103,0,TA,Typ,0,BuiltIn,Fin,2,TA,Y,0,150,0,0,0,0,0,12,2009,New,Partial
461,155000,RL,7200,AllPub,SWISU,1Fam,2Story,7,1936,2007,CompShg,Wd Sdng,Gd,PConc,Gd,ALQ,350,1,0,GasA,Ex,Y,SBrkr,575,560,0,Gd,Typ,0,Detchd,RFn,2,TA,Y,256,0,0,0,0,0,0,4,2009,WD,Normal
462,62383,RL,8281,AllPub,Sawyer,1Fam,1Story,5,1965,1965,CompShg,MetalSd,TA,CBlock,TA,Rec,553,0,0,GasA,Gd,Y,SBrkr,864,0,0,TA,Typ,1,Detchd,Unf,1,TA,Y,0,0,236,0,0,0,0,12,2009,WD,Normal
